WOE_ID,ISO,Name,Language,PlaceType,Parent_ID
26809859,EC,Chumblin,SPA,LocalAdmin,26809653
26809860,EC,Chumunde,SPA,LocalAdmin,26809646
26809861,EC,Chunchi,SPA,LocalAdmin,26809524
26809862,EC,Chupianza,SPA,LocalAdmin,26809669
26809863,EC,Chuquiribamba,SPA,LocalAdmin,26809581
26809864,EC,Chura,SPA,LocalAdmin,26809644
26809865,EC,Ciano,SPA,LocalAdmin,26809638
26809866,EC,5 de Junio,SPA,LocalAdmin,26809657
26809867,EC,Cochapamba,SPA,LocalAdmin,26809672
26809868,EC,Cochapata,SPA,LocalAdmin,26809600
26809869,EC,Cojimies,SPA,LocalAdmin,26809620
26809870,EC,Cojitambo,SPA,LocalAdmin,26809496
26809871,EC,Colaisaca,SPA,LocalAdmin,26809508
26809872,EC,Colimes,SPA,LocalAdmin,26809526
26809873,EC,Colon Eloy del Maria,SPA,LocalAdmin,26809546
26809874,EC,Colonche,SPA,LocalAdmin,26809665
26809875,EC,Columbe,SPA,LocalAdmin,26809527
26809876,EC,Compud,SPA,LocalAdmin,26809524
26809877,EC,Concepcion,SPA,LocalAdmin,26809593
26809878,EC,Concepcion,SPA,LocalAdmin,26809657
26809879,EC,Conocoto,SPA,LocalAdmin,26809645
26809880,EC,Cononaco,SPA,LocalAdmin,26809486
26809881,EC,Constatino Fernandez,SPA,LocalAdmin,26809489
26809882,EC,Convento,SPA,LocalAdmin,26809522
26809883,EC,Copal,SPA,LocalAdmin,26809669
26809884,EC,Cordoncillo,SPA,LocalAdmin,26809495
26809885,EC,Crnel. Carlos Concha Torres,SPA,LocalAdmin,26809547
26809886,EC,Crnel. Lorenzo de Garaicoa,SPA,LocalAdmin,26809678
26809887,EC,Crnel. Marcelino Maridueña,SPA,LocalAdmin,26809528
26809888,EC,Cosanga,SPA,LocalAdmin,26809642
26809889,EC,Cotacachi,SPA,LocalAdmin,26809529
26809890,EC,Cotalo,SPA,LocalAdmin,26809662
26809891,EC,Cotogchoa,SPA,LocalAdmin,26809649
26809892,EC,Cotundo,SPA,LocalAdmin,26809492
26809893,EC,Cristoval Colon,SPA,LocalAdmin,26809598
26809894,EC,Crucita,SPA,LocalAdmin,26809631
26809895,EC,Cruzpamba,SPA,LocalAdmin,26809514
